,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
1406,16747,3,28.0,480.0,4000.0,1100.0,1950.0,False,,Unieke Ruimte in de Pijp,Unieke Ruimte in de Pijp,"Deze prachtige ruimte is gelegen in het hippe en levendige wijk 'De Pijp'. Het is perfect voor merken die een Pop-Up Event, een Food Event of een Photoshoot willen organiseren.

Deze ruimte heeft een unieke roodgekleurde gevel met een uitnodigend venster. Het verbazingwekkende split-level geeft deze ruimte een warme en gastvrije uitstraling. Met een professionele keuken, apparatuur en meubels is deze ruimte klaar voor een breed scala aan voedselevenementen en pop-ups.

Deze ruimte, dicht bij de beroemde Gerard Doustraat, is gemakkelijk toegankelijk en een geweldige optie voor merken en individuen die een uniek pop-up evenement willen neerzetten.",Deze prachtige ruimte is gelegen in het hippe en levendige wijk 'De Pijp'.,Zuid,Amsterdam,1065 XL,Event Space,,Furniture;Garment Rack;Counters;Electricity;Heating;Kitchen;Lighting;Stock Room;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets,Art Opening;Product Launch;Pop-Up Store;Food Event;Corporate Event;Photoshoot & Filming,amsterdam
1613,29480,1,,4350.0,,,,False,,,Industrial White Box Gallery in City Centre,"Uniquely located on Looiersgracht, along one of the canals in Amsterdam’s premier gallery district, a former industrial building (built in 1902) is ready to fulfil its new purpose.
The building was recently renovated by architect Moriko Kira, whose design was nominated for the prestigious ‘De Lensvelt
/ De Architect Interior Award’ for 2011. The idea was to preserve the building’s industrial shell while going beyond the current ‘white cube’ convention in gallery design.

The multi- functional space can be divided into different rooms, depending on the needs of the event concerned, e.g. symposiums, concerts, lec- tures, conferences, (film) presentations, and meetings. Prices are available upon request.

The total surface area of the project space is 743 m2.
Ground floor (513 m2):
- Exhibition Space = 217.5m2
- Exhibition Space = 233.2m2
- Bookstore = 20.8m2
- Multi-media room = 20.6m2 (15-20 pers)
- Reception desk = 6.6m2
- Office = 16.8m2
- Pantry = 14m2

Basement (230m2):
- Exhibition Space = 75m2
- Exhibition Space = 59.3m2
- Auditorium = 59.3m2 (40-60 pers)
- Catering unit = 21m2
- Storage = 49m2
- Cloakroom and toilets = 22m2",,,Amsterdam,1016 VT,Art Gallery,,Air Conditioning;Electricity;Heating;Kitchen;Lighting;Street Level;Internet;Toilets;Ground Floor;Raw;Whitebox / Minimal;Industrial;Large Door Entrance;Water Access,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Shopping Mall;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,amsterdam
1617,30153,168,,,3958.0,,,False,,,Cosy Store Near the Nine Streets,"This cosy store is located at the high traffic Singel that runs from the IJ to the Muntplein, right through the famous 9 Streets of Amsterdam. The property is located near the Wijde Heisteeg, which is the 9 Streets with the Spuistraat and the Spui.

The total floor area is 47 m2, subdivided as follows:

Approximately 33 m² GFA ground floor (retail space)
Approximately 7 m² GFA mezzanine (retail space)
Approximately 7 m² GFA basement (secondary space).",,,Amsterdam,1016 BC,Boutique / Shop,,Electricity;Heating;Kitchen;Lighting;Stock Room;Street Level;Internet;Window Display;Toilets;Ground Floor;Whitebox / Minimal;Multiple Rooms,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom,amsterdam
1690,15851,1,84.0,1863.0,37260.0,1863.0,9315.0,False,,Unieke Vergader Ruimte in het Centrum,Unieke en Smaakvolle Vergaderruimte op de Amsterdamse Grachten,"Deze prachtige locatie van 200 m² bevindt zich op een gunstige locatie tussen de Amsterdam grachtengordel en De Pijp. 

Het atelier bevindt zich op de derde verdieping van een historisch gebouw en heeft een klassieke, discrete ingang. Met twee glazen plafondkoepels en vier Franse balkons, is er een overvloed aan natuurlijk licht in de ruimte. Het interieur is modern met parketvloeren, witte muren en hoge plafonds. Met faciliteiten zoals geluids- en videoapparatuur, catering en designstoelen en -tafels, is het perfect geschikt voor een bedrijfsevenement of productlancering.",Deze prachtige locatie van 200 m² bevindt zich op een gunstige locatie tussen The City Centre en The Pijp.,,Amsterdam,1017 HG,Meeting Space,,Air Conditioning;Furniture;Electricity;Heating;Lighting;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Daylight,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Meeting;Photo Shooting,amsterdam
1783,30390,1,14.0,695.0,,1250.0,3500.0,False,,,Serene location in the museum quarter of Amsterdam,"A Room to Meet, Retreat & Recharge. 
Dit is een holistische locatie, geleden in het museumkwartier in Amsterdam

De locatie kenmerkt zich door de prachtige lichtinval, serene sfeer, natuurlijke elementen en Japanse invloeden.Met aandacht voor well being en een sensorische beleving. Voor mensen en merken die het beste uit zichzelf en hun dag willen halen. 
 
Foto Settings & Styling
De lichte ruimtes, inspirerende inrichting en rustgevende ambiance maken de locatie heel geschikt voor meetings, fotoshoots, pop up of merk events. 
Met minimale aanpassingen creëer je eenvoudig een eigen look & feel, passend bij jullie merk of campagne. 

Services & Faciliteiten 
Ons team biedt high level services en beschikt over alle benodigde faciliteiten om de dag soepel te laten verlopen. Zo serveren we graag verrijkende eetmomenten. Gecreëerd in samenwerking met onze food partner.Met aandacht voor pure ingrediënten, verrassende gerechten en een mooie styling.",,,Amsterdam,1071 VM,Photo / Filming Studio,,Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Street Level;Internet;Office Equipment;Sound & Video Equipment;Toilets;Stunning View;Ground Floor;Garden;Liquor Licence;Multiple Rooms;Soundproof;Terrace,Product Launch;Pop-Up Store;Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage;Meeting;Photo Shooting,amsterdam
1799,16716,28,,,2750.0,,,False,,Prachtige Pop-Up In Het Centrum,Prachtige Pop-Up In Het Centrum,"Deze topruimte is gunstig gelegen in het centrum van Amsterdam, dichtbij het Waterlooplein. Het is een uitstekende keuze voor een pop-upwinkel of een privéverkoop.Grote doorloop van toeristen.

Met een elegante en volledig glazen voorgevel biedt deze locatie een geweldig zicht en is de ruimte gevuld met helder natuurlijk licht. Het gaat hier om een typisch Amsterdam's pand. Het interieur is verfijnd met geruite vloeren, witte muren en balken aan het plafond. Met faciliteiten zoals een kleine keuken, toilet, beveiligde ramen en een beveiligingssysteem, kan deze ruimte plaats bieden aan veel soorten retailers.

Gunstig gelegen in het iconische centrum, dichtbij het Waterlooplein en de Kalverstraat, is deze ruimte een uitzonderlijke kans in een zeer gewilde omgeving en perfect voor merken en ontwerpers om exposure te krijgen en impact te hebben.","Deze topruimte is gunstig gelegen in het centrum van Amsterdam, dichtbij het Waterlooplein.",Historic City Center,Amsterdam,1011JM,Boutique / Shop,,Electricity;Kitchen;Lighting;Street Level;Internet;Window Display;Toilets,Pop-Up Store,amsterdam
1827,9672,1,28.0,850.0,17500.0,1200.0,6000.0,True,200.0,Pop-Up Galerie in Grachtengordel,Pop-Up Galerie in Grachtengordel,"Deze galerij bevindt zich in het centrum van de Jordaan. De galerij heeft lange verticale ramen die de kamer van mooi daglicht voorzien. Dit maakt de galerij breed, open en comfortabel.

Naast het natuurlijke licht heeft de galerij ook prachtige spotlichten om de perfecte sfeer binnenin te creëren. Wat de galerij nog comfortabeler maakt, is het geïntegreerde café, waar speciale koffie, thee en gebak wordt geserveerd.

De perfecte plek om uw nieuwe pop-up concept te lanceren.",Cloud Gallery bevindt zich in het centrum van de Jordaan.,Jordaan,Amsterdam,1016 HJ,Art Gallery,,Furniture;Counters;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Stunning View;Ground Floor;Animals Friendly,Fashion Show;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage;Meeting;Shop Share,amsterdam
1838,14840,28,,,15000.0,,,False,,Geweldige Retail Locatie in het Centrum,Geweldige Retail Locatie in het Centrum,"Deze ruimte zal zeker veel aandacht trekken, gezien de unieke locatie in een van de beroemdste winkelstraten van Amsterdam, omringd door de iconische grachten. Met 150 m² tot uw beschikking kan deze ruimte gemakkelijk grote pop-ups, productlanceringen en PR-evenementen hosten.

Het opvallende en goed gerestaureerde Amsterdamse gebouw heeft nog steeds zijn klassieke kenmerken, zoals het prachtige plafond. Gelegen op loopafstand van het beroemde Rembrandtplein, dit is een uitstekende locatie en zal veel bezoekers aantrekken.

Het interieur van deze prachtige ruimte heeft de nodige functies voor een breed scala aan projecten, zoals planken, vitrines en verlichting.","Deze ruimte zal zeker veel aandacht trekken, gezien de unieke locatie in een van de beroemdste winkelstraten van Amsterdam, omringd door de iconische grachten.",City Center,Amsterdam,1017 VN,Boutique / Shop,,Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Toilets,Pop-Up Store,amsterdam
1983,21038,30,,,9000.0,,,False,,Unieke Hoge Footfall Pop-Up Locatie,Unieke Hoge Footfall Pop-Up Locatie,"Dit prominente winkelpand bevindt zich naast één van de drukste winkelstraten van Amsterdam, de Leidsestraat. De in totaal 100m2 is verdeeld over twee verdiepingen. 

Er zijn vele mogelijkheden met het pand, denk aan een pop-up winkel, product launch en merk activatie gerelateerde evenementen. Dit pand heeft een mooie lichtinval, met een hoge gevel die zorgt voor veel zichtbaarheid. Daarnaast is de locatie van deze ruimte uniek in Amsterdam.

De Leidsestraat kenmerkt zich al jaren als bekend winkelgebied in Amsterdam. Grote internationale retailers zoals Abercrombie & Fitch, Timberland, Ici Paris, Boss en Levi's zijn hier gevestigd. 

Als je op zoek bent naar een winkelpand in een gebied met hoge footfall en zichtbaarheid, op één van Amsterdam's drukste winkelplekken zoek dan niet verder en vraag direct meer informatie aan.","Dit prominente winkelpand bevindt zich naast één van de drukste winkelstraten van Amsterdam, de Leidsestraat.",,Amsterdam,1017 EJ,Boutique / Shop,,Air Conditioning;Electricity;Heating;Stock Room;Street Level;Internet;Window Display;Toilets,Private Sale;Art Opening;Product Launch;Pop-Up Store,amsterdam
1984,33496,84,168.0,,2500.0,,,False,,,Pop-up store in Westerpark,"This space is located in a busy area of Amsterdam! This 124 sq m space has the potential to host your perfect pop-up and instantly become the new face of your brand, facing your target audience.This ground floor level is situated in a way that will guarantee visibility and provide the perfect display.

This classical space fits very well into the surrounding environment. It is even equipped with two kitchens, two fridges, multiple refrigerators and much more. 

Please contact us for additional information!",,,Amsterdam,1052 KW,Boutique / Shop,,Furniture;Electricity;Heating;Kitchen;Lighting;Street Level;Internet;Office Equipment;Toilets;Ground Floor;Garden;Large Door Entrance;Water Access,Product Launch;Pop-Up Store;Food Event;Shopping Mall;Photoshoot & Filming;Food & Beverage;Office;Photo Shooting,amsterdam
2092,33557,1,7.0,550.0,,750.0,2500.0,False,,,Stunning Herengracht Canal Entire Office Space,"This trendy, 65-m2 Nordic-style office is the perfect space for a conference, meeting, brainstorming session, company event, photoshoot, team gathering, and more. This space is 65 m2 and can seat up to 40 people in this space. You will also have access to a separate meeting room that can be used for a breakout room.

Our main office space is on the third floor and overlooks the Herengracht canal. It has a super-comfy lounge area, a large desk and two further desk areas. There is also plenty of room for standing and sitting on the couch. The large windows let in the perfect amount of light for photoshoots, and the windows are the perfect backdrop!

The rate includes Wi-Fi, an organic tea selection, a top-of-the-line coffee machine with milk and sugar, etc., the use of a Nebula II projector, access to a Sonus speaker and an after-event cleaning service, so there is no need to tidy up after your event; we take care of that! We can also recommend local catering companies.

Please note: Access to the office is via stairs; there is no lift. The bathroom is shared with other offices in the same building and there are some house keeping rules such as no smoking inside the building, not wandering into other bathrooms and offices and keeping noise to a minimum in the public corridors.",,,Amsterdam,1016 BV,Office Space,,Furniture;Garment Rack;Counters;Electricity;Heating;Kitchen;Lighting;Internet;Toilets;Living Space;Stunning View;Bathroom;Multiple Rooms,Private Sale;Art Opening;Product Launch;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,amsterdam
2120,32493,1,,500.0,,,,False,,,Art Gallery in Amsterdam,"This is a unique location with 50 masterpieces painted by artists from now. Ideal for a dinner with friends, business partners, birthday party or a get together. The fun is that you can combine it with the Art Experience.",,,Amsterdam,1072 BD,Art Gallery,,Electricity;Lighting;Street Level;Internet;Toilets;Ground Floor;Bathroom;Bar;Daylight;Water Access,Art Opening;Product Launch;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage;Photo Shooting,amsterdam
2129,33791,1,2.0,4500.0,,4500.0,,False,,,Restaurant & Cocktailbar,"We are located on one of the most popular streets of Amsterdam, the Westerstraat. Offering our space for delicious corporate dinners or just meet & drinks. We are very flexible with our pricing and space, most of our tables CAN BE MOVED to make a big space. the pricing you see here is open to negotiation and depends on the number of people and consumption. We have excellent hosting and serving skills as well as experience hosting, parties and corporate events. Don't doubt to contact us!",,,Amsterdam,1015 MR,Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Street Level;Internet;Window Display;Sound & Video Equipment;Toilets;Bathroom;Bar;Daylight;Liquor Licence;Large Door Entrance;Multiple Rooms;Smoking Area;Concierge;Animals Friendly;Soundproof,Art Opening;Late Night Event (after 10pm);Product Launch;Food Event;Corporate Event;Food & Beverage;Meeting;Office;Photo Shooting,amsterdam
2195,9579,2,,300.0,6500.0,300.0,1750.0,False,,Pop-Up Ruimte in Hallenkwartier,Pop-Up Ruimte in Hallenkwartier,"Deze gestroomlijnde 70 m² winkelruimte is nu te huur. Het ligt tussen het Hallenkwartier en de Jordaan in, een ideale locatie voor pop-up stores, productlanceringen en tentoonstellingen.

De ruimte is gevestigd in een traditioneel Amsterdams gebouw in een normale doorgangsstraat, en bevindt zich op de begane grond om de hoek bij de Bilderdijkstraat. Het heeft een klein souterrain dat dienst doet als opslagruimte. De ruimte is gerenoveerd en is in uitstekende staat. 

De ruimte zelf heeft een zeer warm en gastvrij gevoel. Dit komt door de bruine vloeren in combinatie met witte muren en witte meubels. Afgezien van een tafel en stoelen, zijn er internet, beveiligingssysteem en vele andere functies beschikbaar.",Deze gestroomlijnde 70 m² winkelruimte is nu te huur.,West,Amsterdam,1054 XL,Boutique / Shop,,Furniture;Garment Rack;Electricity;Heating;Kitchen;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Toilets,Art Opening;Corporate Event,amsterdam
2200,24246,1,7.0,560.0,,660.0,2800.0,False,,Historic Canal House,Historic Canal House 'Christopher Columbus,"This historic space is located in the heart of Amsterdam and housed in a beautiful, old canal house. The central location makes it easily accessible by public transport. If you prefer the car, there is also a parking garage Kalverstraat at 5 minutes walking distance. 

The beautiful and authentic details of the room makes it an unique area for any type of event or meeting. Go back in time, and let your curiosity bring you to new ideas in this inspiring and bright room.

The room has a capacity for 16 people in a boardroom setting and 40 people in a theater setting.  Everything you need will be facilitated by your personal host, the only thing you have to do is focusing on your event.

Extras:
- Water
- Coffee
- Lunch
- Flipchart
- Pens and paper
- Projector + screen
- Whiteboard
- TV screen
- Host(ess)

***Prices may differ if your event requires a different format other than boardroom setting or if your event is in the evening/weekend. A surcharge per hour may apply***","This historic space is located in the heart of Amsterdam and housed in a beautiful, old canal house.",,Amsterdam,1017 EG,Meeting Space,,Air Conditioning;Furniture;Heating;Kitchen;Lighting;Internet;Sound & Video Equipment;Toilets,Product Launch;Corporate Event;Photoshoot & Filming,amsterdam
2204,9734,7,168.0,,6000.0,,1500.0,False,,Stylish Pop-Up Store in De Pijp,Stylish Pop-Up Store in De Pijp,"Deze uitstekende winkel- en showroom ruimte van 70 m² in De Pijp heeft een mooie zwarte gevel, en een strak wit interieur. 

De 4,5 meter brede gevel heeft twee brede etalages die voor veel zichtbaaheid zorgen. Binnen ontdek je het interieur in witte kubus stijl met glanzende witte vloeren, witte muren en witte plafonds. Opvallende details zoals de met koper beklede baai en de ruige barokke pilaar voegen een kenmerkende toon toe aan de moderne en schone ruimte. De ruimte beschikt over flexibele eenheden die kunnen worden verplaatst en op een rooster systeem worden geplaatst op basis van individuele vereisten. Kortom, deze ruimte is perfect voor flexibel gebruik. Van pop-up stores tot tentoonstellingen, workshops en bijeenkomsten.

Deze ruimte bevindt zich in de Gerard Doustraat. In deze opkomende buurt zijn veel galerijen, mode- en lifestyle-winkels geopend. Met buren als Felice Home of Brands, Charlie + Mary, Miuse, Brick Lane, Scotch & Soda, BLOND Amsterdam en ANNA + NINA, de altijd levendige Albert Cuypmarkt om de hoek en het levendige centrum op een steenworp afstand, heeft deze ruimte de ideale locatie voor elk type pop-up winkel of evenement met voldoende instroom van shoppers. Met de tram ben je binnen vijftien minuten van het Centraal Station naar de voordeur van deze geweldige locatie.","Deze uitstekende winkel- en showroom ruimte van 70 m² in De Pijp heeft een mooie zwarte gevel, en een strak wit interieur.",De Pijp,Amsterdam,1072EK,Boutique / Shop,,Furniture;Garment Rack;Counters;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Sound & Video Equipment;Toilets,Art Opening;Pop-Up Store,amsterdam
2210,17266,180,,,5000.0,,,False,,Prachtige Boutique in Hartje Amsterdam,Prachtige Boutique in Hartje Amsterdam,"Vlakbij het Rijksmuseum in de prestigieuze buurt van de Nieuwe Spiegelstraat, ligt deze moderne winkelunit. Deze ruimte is perfect voor merken om een ​​tijdelijke of permanente winkel te openen.

Met een verfijnde voorgevel en een elegant venster, biedt deze winkelruimte een goede zichtbaarheid voor uw merk. De prachtige privé-ingang en het smaakvolle interieur, bestaande uit prachtige witte muren en gepolijste vloeren, geven deze boetiek een stijlvolle sfeer. De winkel zelf heeft een oppervlakte van 60m2 met een extra keuken, een kantoorruimte en een kelder voor opslag.

Het totaal is circa 112,5 m² BVO, verdeeld over begane grond ca. 64m² en het souterrain
ca. 48m².

De eerste foto's weerspiegel de ruimte zoals deze nu is en op de laatste foto's zie je hoe de ruimte daarvoor was en geven een wat neutralere indruk.","Vlakbij het Rijksmuseum in de prestigieuze buurt van de Nieuwe Spiegelstraat, ligt deze moderne winkelunit.",City Center,Amsterdam,1017 DD,Boutique / Shop,,Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Stock Room;Street Level;Internet;Window Display;Toilets,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event,amsterdam
2222,29349,1,,350.0,,450.0,1500.0,False,,,Unique event- & retail & meeting space with high ceilings and beautiful daylight in the centre of Amsterdam (ground floor),"This showroom/events space entails 60 m2 end a double height ceiling at in the Plinth of the Weesperstraat close to Kerkstraat and next to ZoKu. The space has high ceilings (6 m) and a huge amount of bright daylight. The space is perfect for events,  presentations, meetings, a showroom or a photoshoot during the day, because of the beautiful natural light that comes in. 

You can find this beautiful light space in the center of Amsterdam, between the Plantagebuurt and the Magere Brug. The space is located close to the Hermitage Museum, the Amsterdam Zoo (Artis) and the University of Amsterdam. 

During the week (from mon-fri), the office space above at the first level is occupied. It's possible to rent during the week or in the weekends. There is a security system in place.",,,Amsterdam,1018 VN,Other,,Security System;Street Level;Internet;Window Display;Stunning View;Ground Floor;Daylight;Raw;Whitebox / Minimal;Large Door Entrance,Private Sale;Art Opening;Product Launch;Corporate Event;Photoshoot & Filming;Meeting;Office;Photo Shooting,amsterdam
2300,11891,168,,,7500.0,,,False,,Pop-Up Store on Amsterdam’s Most Important A1 Retail Location,Pop-Up Store in Amsterdam’s Most Important A1 Retail Location,"This excellent pop-up store is located on the key A1 retail street in Amsterdam. The foot traffic in front of the store is the highest in the entire city and it is located directly next to and across from important anchor retail locations in this street. 

This location attracts a very high number of clients ready to buy and provides the best possible environment for maximizing your brand's visibility and reaching your target customers in Amsterdam.

The building has a ground-floor street-facing storefront, which is ideal for both marketing your brand and attracting clients into your pop-up store. The building inside has a beautiful stone floor which provides a classic and high-end look and feel to your initiative.

The space optimizes the available retail space with a perfect storage location and additional space beneath the ground floor.

This is an exceptional retail opportunity in an amazing location. Contact us now to put your brand in front the masses of local and international clients in Amsterdam's main shopping district.",This excellent pop-up store is located on the key A1 retail street in Amsterdam.,City Center,Amsterdam,,Boutique / Shop,,Electricity;Stock Room;Street Level;Window Display,Pop-Up Store,amsterdam
2330,21284,7,,,1500.0,,600.0,False,,Prachtige Retail Ruimte Dichtbij Muntplein en Waterlooplein,Lovely boutique shop in the heart of town,"Deze topruimte is gunstig gelegen in het centrum van Amsterdam, dichtbij het Waterlooplein. Het is een uitstekende keuze voor een pop-up winkel, product launch of sample sale. Dit gebied kenmerkt zich door de grote  doorloop van toeristen. 

Met een elegante en volledig glazen voorgevel biedt deze locatie een geweldig zicht en is de ruimte gevuld met helder natuurlijk licht. Het gaat hier om een typisch Amsterdam's pand. Het interieur is verfijnd met houten vloeren, witte muren en bied zo een uitstekende basis voor uw volgende evenement. Met faciliteiten zoals een keuken en toilet kan deze ruimte plaats bieden aan veel soorten retailers. 

Gunstig gelegen in het iconische centrum, dichtbij het Waterlooplein en de Kalverstraat, is deze ruimte een uitzonderlijke kans in een zeer gewilde omgeving en perfect voor merken en ontwerpers om exposure te krijgen en impact te hebben.","Deze topruimte is gunstig gelegen in het centrum van Amsterdam, dichtbij het Waterlooplein.",,Amsterdam,1011 JJ,Boutique / Shop,,Electricity;Lighting;Stock Room;Street Level;Internet;Window Display;Sound & Video Equipment;Toilets;Ground Floor,Private Sale;Art Opening;Product Launch;Pop-Up Store,amsterdam
2368,30073,1,7.0,500.0,,500.0,2300.0,False,,,Industriële ruimte te huur in hartje Amsterdam voor verschillende activiteiten mogelijk,A-locatie op loopafstand van centraal station van Amsterdam. Met een prachtig uitzicht over het IJ.Veelzijdig bruikbaar.,,,Amsterdam,1013 AE,Other,,Furniture;Electricity;Heating;Lighting;Street Level;Internet;Window Display;Toilets;Stunning View;Ground Floor;Bar;Daylight;Industrial;Water Access;Smoking Area;Soundproof,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,amsterdam
2500,12446,336,,,2800.0,,,False,,Pop-Up Store in Museumkwartier,Pop-Up Store in Museumkwartier,"Located close to the P.C. Hooftstraat in the lively area of the Museumkwartier is this spacious ready for rent store. This space is perfect for brands to open a Pop-Up Store.

This white-box venue has a historic yet modern frontage with a sleek window display, filling the space with a luminous natural light. The interiors here are curated with clean white and mirrored walls, and has a bright atmosphere. This space offers basic amenities including fitting rooms and can accommodate a variety of pop-ups.

This amazing space is situated in a prime area of the Rijksmuseum close to the Vondelpark. It is an elegant space to host pop-ups.",Located close to the P.,Zuid,Amsterdam,1071 XZ,Boutique / Shop,,Electricity;Fitting Rooms;Kitchen;Lighting;Street Level;Internet;Window Display;Toilets,Pop-Up Store,amsterdam
2507,29309,1,,300.0,,500.0,1500.0,False,,,Vergaderruimte aan de Grachten,"Begin je ontdekkingsreis in deze prachtige ruimte en vlieg samen met Amelia de nieuwe ideeën tegemoet. Vlieg met ons mee terug in de tijd en geniet van de reis over de Grote Oceaan. In dit oude Duitse bankgebouw, in het hart van Amsterdam, is alles luxueus. Wandel over de marmeren vloeren, raak de muren aan en staar naar de glimmende kroonluchter.
 
De kamer zorgt voor verfrissende en nieuwe ideeën tijdens de vergadering. De ruimte heeft een capaciteit voor 6 personen. Alles wat u nodig heeft wordt door onze gastheer gefaciliteerd, het enige wat u hoeft te doen is genieten van de vliegreis en te concentreren op uw vergadering.",,,Amsterdam,1017 EG,Meeting Space,,Furniture;Electricity;Lighting;Toilets;Stunning View;Daylight,Corporate Event;Conference;Meeting;Office,amsterdam
2620,16129,3,84.0,310.0,6250.0,365.0,1475.0,False,,Geweldige Pop-Up Ruimte Tegenover de Negen Straatjes,Geweldige Pop-Up Ruimte Tegenover de Negen Straatjes,"Deze lichte pop-up winkel is gunstig gelegen in de populaire wijk Grachtengordel, vlakbij de Reestraat. Het is een geweldige plek voor pop-up winkels of kunsttentoonstellingen.

Met zijn slanke en uitnodigende ingang is er veel natuurlijk licht en een goed verlichte sfeer. Met zijn grote etalage zal deze ruimte het oog van honderden voorbijgangers vangen. Het interieur is hier uniek met witte muren, schijnwerpers en gepolijste betonnen vloeren. Met faciliteiten zoals een keuken en een geluidssysteem, kan deze ruimte plaats bieden aan een groot aantal pop-up stores.

Deze white-box ruimte is gelegen in het gebied de Grachtengordel dichtbij de Reestraat. Het is een geweldige plek om pop-up stores, merklanceringen en retail evenementen te hosten.","Deze lichte pop-up winkel is gunstig gelegen in de populaire wijk Grachtengordel, vlakbij de Reestraat.",,Amsterdam,1016HE,Boutique / Shop,,Counters;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Toilets,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Corporate Event;Shopping Mall;Photoshoot & Filming,amsterdam
2639,34499,1,,445.0,5750.0,495.0,2195.0,False,,,"Charming pop-up, event and meeting space in the Jordaan","This charming space (25 m2) is located in a historical building in the middle of the bustling Jordaan, a unique place in the center of Amsterdam. Step inside and immediately feel at home in our tranquil space. It has a modern and elegant look with funky details. It is the perfect venue for creative inspiring events, meetings and pop-ups shops.

Available facilities:
High-speed WIFI, Sonos sound system, 55-inch presentation screen & workshop materials. 

Easy accessibility:
Reach us conveniently by parking in front of the building or using the nearby ParkBee or Qpark parking garage. We are just a short 12-minute walk from Central Station.

Catering options:
Indulge in culinary delights from our trusted catering partner to offer you a delectable menu. Ask us for the possibilities. 

Smooth load:
Unload with ease as our studio is conveniently located on the ground floor. Say goodbye to lugging equipment up flights of stairs, and get straight into the setup hassle-free.",,,Amsterdam,1015 LE,Boutique / Shop,,Furniture;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Street Level;Internet;Sound & Video Equipment;Toilets;Ground Floor;Daylight;Water Access,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food & Beverage;Meeting;Office,amsterdam
